preset,N,format,kb_per_rec,enc_krec_s,dec_krec_s
A.Tiny-ASCII,10000,Protobuf(Struct),0.1524,192.31,250.00
A.Tiny-ASCII,10000,Avro(Generic),0.0833,555.56,196.08
A.Tiny-ASCII,10000,Custom(TLV),0.0916,909.09,1000.00
A.Tiny-ASCII,100000,Protobuf(Struct),0.1524,657.89,819.67
A.Tiny-ASCII,100000,Avro(Generic),0.0833,2272.73,775.19
A.Tiny-ASCII,100000,Custom(TLV),0.0916,3030.30,2857.14
A.Tiny-ASCII,500000,Protobuf(Struct),0.1523,1066.10,865.05
A.Tiny-ASCII,500000,Avro(Generic),0.0833,2293.58,1577.29
A.Tiny-ASCII,500000,Custom(TLV),0.0916,6410.26,6097.56
B.Long-Strings,10000,Protobuf(Struct),0.4228,238.10,476.19
B.Long-Strings,10000,Avro(Generic),0.3405,1428.57,434.78
B.Long-Strings,10000,Custom(TLV),0.3476,2500.00,2000.00
B.Long-Strings,100000,Protobuf(Struct),0.4230,458.72,454.55
B.Long-Strings,100000,Avro(Generic),0.3407,884.96,900.90
B.Long-Strings,100000,Custom(TLV),0.3478,1612.90,2500.00
B.Long-Strings,500000,Protobuf(Struct),0.4226,513.35,697.35
B.Long-Strings,500000,Avro(Generic),0.3403,939.85,816.99
B.Long-Strings,500000,Custom(TLV),0.3474,1960.78,2304.15
C.Many-Nulls,10000,Protobuf(Struct),0.1031,714.29,909.09
C.Many-Nulls,10000,Avro(Generic),0.0319,1428.57,1428.57
C.Many-Nulls,10000,Custom(TLV),0.0402,3333.33,5000.00
C.Many-Nulls,100000,Protobuf(Struct),0.1030,892.86,980.39
C.Many-Nulls,100000,Avro(Generic),0.0319,2857.14,1724.14
C.Many-Nulls,100000,Custom(TLV),0.0402,9090.91,14285.71
C.Many-Nulls,500000,Protobuf(Struct),0.1031,1288.66,1103.75
C.Many-Nulls,500000,Avro(Generic),0.0320,2762.43,1845.02
C.Many-Nulls,500000,Custom(TLV),0.0403,7575.76,13888.89
D.Heavy-Lists,10000,Protobuf(Struct),0.4055,400.00,434.78
D.Heavy-Lists,10000,Avro(Generic),0.2549,833.33,322.58
D.Heavy-Lists,10000,Custom(TLV),0.2627,833.33,909.09
D.Heavy-Lists,100000,Protobuf(Struct),0.4053,340.14,421.94
D.Heavy-Lists,100000,Avro(Generic),0.2547,534.76,230.95
D.Heavy-Lists,100000,Custom(TLV),0.2625,847.46,961.54
D.Heavy-Lists,500000,Protobuf(Struct),0.4057,335.57,410.17
D.Heavy-Lists,500000,Avro(Generic),0.2550,782.47,315.86
D.Heavy-Lists,500000,Custom(TLV),0.2628,838.93,965.25
E.Unicode/Emoji,10000,Protobuf(Struct),0.2181,138.89,714.29
E.Unicode/Emoji,10000,Avro(Generic),0.1407,1666.67,833.33
E.Unicode/Emoji,10000,Custom(TLV),0.1485,1666.67,2500.00
E.Unicode/Emoji,100000,Protobuf(Struct),0.2180,645.16,699.30
E.Unicode/Emoji,100000,Avro(Generic),0.1406,1234.57,869.57
E.Unicode/Emoji,100000,Custom(TLV),0.1485,1538.46,2173.91
E.Unicode/Emoji,500000,Protobuf(Struct),0.2180,798.72,645.99
E.Unicode/Emoji,500000,Avro(Generic),0.1406,1184.83,836.12
E.Unicode/Emoji,500000,Custom(TLV),0.1484,1538.46,2336.45
F.High-Duplication,10000,Protobuf(Struct),0.1730,833.33,833.33
F.High-Duplication,10000,Avro(Generic),0.0956,1666.67,1111.11
F.High-Duplication,10000,Custom(TLV),0.1034,3333.33,3333.33
F.High-Duplication,100000,Protobuf(Struct),0.1727,826.45,862.07
F.High-Duplication,100000,Avro(Generic),0.0953,1694.92,1010.10
F.High-Duplication,100000,Custom(TLV),0.1032,3125.00,3225.81
F.High-Duplication,500000,Protobuf(Struct),0.1727,773.99,782.47
F.High-Duplication,500000,Avro(Generic),0.0953,1666.67,910.75
F.High-Duplication,500000,Custom(TLV),0.1032,3144.65,3623.19
G.Skewed-Ages,10000,Protobuf(Struct),0.1573,1000.00,1000.00
G.Skewed-Ages,10000,Avro(Generic),0.0868,2000.00,1250.00
G.Skewed-Ages,10000,Custom(TLV),0.0949,5000.00,10000.00
G.Skewed-Ages,100000,Protobuf(Struct),0.1573,990.10,833.33
G.Skewed-Ages,100000,Avro(Generic),0.0867,735.29,1098.90
G.Skewed-Ages,100000,Custom(TLV),0.0949,4761.90,7142.86
G.Skewed-Ages,500000,Protobuf(Struct),0.1572,990.10,884.96
G.Skewed-Ages,500000,Avro(Generic),0.0867,2057.61,1440.92
G.Skewed-Ages,500000,Custom(TLV),0.0948,4950.50,4273.50
H.Mixed-Realistic,10000,Protobuf(Struct),0.1768,1000.00,909.09
H.Mixed-Realistic,10000,Avro(Generic),0.0992,2500.00,1250.00
H.Mixed-Realistic,10000,Custom(TLV),0.1070,5000.00,10000.00
H.Mixed-Realistic,100000,Protobuf(Struct),0.1769,757.58,877.19
H.Mixed-Realistic,100000,Avro(Generic),0.0993,1315.79,1030.93
H.Mixed-Realistic,100000,Custom(TLV),0.1071,1960.78,3846.15
H.Mixed-Realistic,500000,Protobuf(Struct),0.1769,727.80,881.83
H.Mixed-Realistic,500000,Avro(Generic),0.0992,1048.22,929.37
H.Mixed-Realistic,500000,Custom(TLV),0.1071,2066.12,3731.34
